handle,dc.collection,dc.identifier,dc.title,dc.creator,dc.publisher,dc.contributor,dc.rights,dc.description,dc.coverage.spatial,dc.coverage.temporal,dc.note,dc.note.internal,dc.relation.other,dc.date.issued,dc.location,dc.language,dc.type,dc.format,dc.format.numberofscans,dc.format.numberofpages,dc.identifier.projectcode,dc.identifier.other,dc.catalogedby,dc.validatedby,dc.date.cataloged,dc.date.validated,dc.date.acquisition,dc.subject,dc.source,dc.relation,dc.rights.holder,dc.provenance,dcterms.accrualMethod,URL
123456789/13208,"City, Society, and Economy / Institutions / Italian Embassy / Tribunal / Miscellaneous",ITTDIV012,"Registro delle citazioni dei Tribunali di Pera, Stambul e Scutari -  İstanbul, Pera ve Üsküdar Mahkemeleri'nin celp defteri",,,,Open Access,,,,226 Ordini-226 Kayıt,,,1914-01-15; 1914-09-26,SALT Research,İtalyanca - Italian,Defter - Register,17-22 cm; Handwritten,45,,,45131,HILALA,,29.06.2009,,29.06.2009,,,,Salt Research,,Purchase,https://archives.saltresearch.org/handle/123456789/13208
123456789/13209,"City, Society, and Economy / Institutions / Italian Embassy / Tribunal / Miscellaneous",ITTDIV015,Registro generale delle sentenze stazione CC.RR di Beikos - Beykoz Mahkemesi'nde alınan Karar Kayıt defteri.,,,,Open Access,Sulla coperta si e scritta giudicatura penale settore di Beicos - Kapak üstünde Beykoz ksımına ait ceza hukuku kararları yazılı,,,63 Ordini-63 Kayıt,,,1922-04-06; 1922-09-28,SALT Research,İtalyanca - Italian,Defter - Register,"22,5-35 cm; Handwritten",24,,,45134,HILALA,,29.06.2009,,29.06.2009,,,,Salt Research,,Purchase,https://archives.saltresearch.org/handle/123456789/13209
123456789/13246,"City, Society, and Economy / Institutions / Italian Embassy / Tribunal / Miscellaneous",ITTDIV008,"Registro delle citazioni dei Tribunali di Pera, Stambul e Scutari - İstanbul, Pera ve Üsküdar Mahkemeleri'nin celp defteri",,,,Open Access,,,,53 Ordini-53 Kayıt,,,1901-08-06; 1901-11-20,SALT Research,İtalyanca - Italian,Defter - Register,"17,5-22 cm; Handwritten",20,,,45127,HILALA,,29.06.2009,,29.06.2009,,,,Salt Research,,Purchase,https://archives.saltresearch.org/handle/123456789/13246
123456789/13247,"City, Society, and Economy / Institutions / Italian Embassy / Tribunal / Miscellaneous",ITTDIV017,Registro generale delle sentenze - Karar Kayıt defteri,,,,Open Access,,,,227 Ordini-227 Kayıt,,,1922-04-12; 1922-11-15,SALT Research,İtalyanca - Italian,Defter - Register,20-27 cm; Handwritten,86,,,45136,HILALA,,29.06.2009,,29.06.2009,,,,Salt Research,,Purchase,https://archives.saltresearch.org/handle/123456789/13247
123456789/12841,"City, Society, and Economy / Institutions / Italian Embassy / Tribunal / Reports",ITTCR005,Processo verbale di Natalia Guigliardi contro Giarmo Brachetti - Natalia Guigliardi'nin Giacomo Brachetti aleyhine açtığı davanın zabıt tutanakları,,,,Open Access,,,,,,,1900-05-02; 1900-06-30,SALT Research,İtalyanca - Italian,Dosya - File,20-32 cm; Handwritten,110,,,45113,HILALS,,06.07.2009,,06.07.2009,,,,Salt Research,,Purchase,https://archives.saltresearch.org/handle/123456789/12841
123456789/12870,"City, Society, and Economy / Institutions / Italian Embassy / Tribunal / Reports",ITTCR003,Processo verbale di Evangelista Leali - Evangelista Leali'nin zabıt tutanakları,,,,Open Access,,,,,,,1895-09-11; 1895-10-21,SALT Research,İtalyanca - Italian,Dosya - File,20-32 cm; Handwritten,134,,,45111,Hilal Aktaş,,06.07.2009,,06.07.2009,,,,SALT Research,,Purchase,https://archives.saltresearch.org/handle/123456789/12870
123456789/12871,"City, Society, and Economy / Institutions / Italian Embassy / Tribunal / Reports",ITTCR008,Processo verbale di Teresa Chrissoni nel riguardo del credito verso la Principessa Seniha Sultan - Teressa Chrissioni'nin Seniha Sultan'a verdiği borca ilişkin davanın zabıt tutanakları.,,,,Open Access,Fasciolo contiene un elenco di atti - Dosyanın başında bir akit listesi mevcut,,,,,,1905-05-10; 1905-06-19,SALT Research,İtalyanca - Italian; Fransızca - French,Dosya - File,20-32 cm; Handwritten,222,,,45116,HILALS,,06.07.2009,,06.07.2009,,,,Salt Research,,Purchase,https://archives.saltresearch.org/handle/123456789/12871
123456789/13080,"City, Society, and Economy / Institutions / Italian Embassy / Tribunal / Reports",ITTCR011,"Processo verbale della succesione di Luigi Torchia (Severio, Emma, Rosa ed Alfredo Torchia contro Ernesto Torchia) - Luigi Torchia'nın veraset davası zabıt tutanakları",,,,Open Access,Fasciolo contiene il rendiconto dellegestioni di Costantinopoli dal 1 Novembre 1907 al 1 Maggio 1910 i Ernesto Torchia dal 1 Gennaio 1901 al 1 Giugno 1910,,,,,,1910-01-07; 1913-05-12,SALT Research,İtalyanca - Italian; Fransızca - French,Dosya - File,21-33 cm; Handwritten,214,,,45119,HILALS,,07.07.2009,,07.07.2009,,,,Salt Research,,Purchase,https://archives.saltresearch.org/handle/123456789/13080
123456789/13109,"City, Society, and Economy / Institutions / Italian Embassy / Tribunal / Reports",ITTCR002,Processo verbale di Raffaelle Siacca contro Gennarino Scognamillo - Raffaelle Siacca'nın Gennarino Scognamillo aleyhindeki davasının zabıt tutanakları,,,,Open Access,,,,,,,1895-04-16; 1895-06-18,SALT Research,İtalyanca - Italian,Dosya - File,20-32 cm; Handwritten,47,,,45110,Hilal Aktaş,,30.06.2009,,30.06.2009,,,,SALT Research,,Purchase,https://archives.saltresearch.org/handle/123456789/13109
123456789/13143,"City, Society, and Economy / Institutions / Italian Embassy / Tribunal / Reports",ITTCR004,Processo verbale di Luigi Leone contro Attilio Passega - Luigi Leone'nin Attilio Passega aleyhine açtığı davanın zabıt tutanakları,,,,Open Access,,,,,,,1898; 1898,SALT Research,İtalyanca - Italian,Dosya - File,20-32 cm; Handwritten,79,,,45112,Hilal Aktaş,,06.07.2009,,06.07.2009,,,,SALT Research,,Purchase,https://archives.saltresearch.org/handle/123456789/13143
123456789/13144,"City, Society, and Economy / Institutions / Italian Embassy / Tribunal / Reports",ITTCR010,"Processo verbale della succesione di Luigi Torchia (Emma, Rosa ed Alfredo Torchia contro Ernesto Torchia) - Luigi Torchia'nın veraset davası zabıt tutanakları.",,,,Open Access,Fasciolo contiene il rendiconto di Ernesto Torchia dal 1 Gennaio 1910 al 1 Giugno 1910 - Dosya Ernesto Torchini'nin 1 Ocak 1910'dan 1 Haziran 1910'a kadarki dosyasını içerir.,,,25 Documenti - 25 Belge,,,1910-04-02; 1910-12-23,SALT Research,İtalyanca - Italian; Fransızca - French,Dosya - File,"25-33,5 cm; Handwritten",101,,,45118,HILALS,,07.07.2009,,07.07.2009,,,,Salt Research,,Purchase,https://archives.saltresearch.org/handle/123456789/13144
123456789/13205,"City, Society, and Economy / Institutions / Italian Embassy / Tribunal / Reports",ITTCR007,"Processo verbale della morte di Antonio Vassalo, il minatore di Societa Ottomana d'Eraclea a Zonguldak, contro Antonio Vittone - Osmanlı Herakles Şirketi maden işçisi Antonio Vassalo'nun ölümü sebebiyle Antonio Vittone aleyhine açılan davanın zabıt tutanakları.",,,,Open Access,Fasciolo comincia dalla pagina sesta - Dosya altıncı sayfadan başlar,,,,,,1904-11-24; 1905-05-25,SALT Research,İtalyanca - Italian; Fransızca - French,Dosya - File,20-32 cm; Handwritten,129,,,45115,HILALS,,06.07.2009,,06.07.2009,,,,Salt Research,,Purchase,https://archives.saltresearch.org/handle/123456789/13205
123456789/13206,"City, Society, and Economy / Institutions / Italian Embassy / Tribunal / Reports",ITTCR009,Processo verbale della Compagnia d'Assurenza  Le Phénix  contro Jacques Geido - Jacques Geido aleyhine Phénix Sigorta Şirketi'nin davasının zabıt tutanakları,,,,Open Access,"Mancano le pagine 14 - 19, 57 - 61, 67 - 70, 107 - 120 / 14 - 19 , 57 - 61, 67 - 70 , 107 - 120 arası sayfalar eksik",,,,,,1905-11-24; 1906-02-28,SALT Research,İtalyanca - Italian; Fransızca - French,Dosya - File,20-32 cm; Handwritten,181,,,45117,HILALS,,07.07.2009,,07.07.2009,,,,Salt Research,,Purchase,https://archives.saltresearch.org/handle/123456789/13206
123456789/13244,"City, Society, and Economy / Institutions / Italian Embassy / Tribunal / Reports",ITTCR001,Processo verbali della succesione di Luigi Pedemonte - Luigi Pedemonte'nin veraset zabıt tutanakları,,,,Open Access,,,,Mancano gli anni 1916-1919 / 1916-1919 arasındaki yıllar eksik,,,1879; 1898,SALT Research,İtalyanca - Italian,Dosya - File,20-32 cm; Handwritten,524,,,45109,Hilal Aktaş,,06.07.2009,,06.07.2009,,,,SALT Research,,Purchase,https://archives.saltresearch.org/handle/123456789/13244
123456789/13245,"City, Society, and Economy / Institutions / Italian Embassy / Tribunal / Reports",ITTCR006,Processo verbale di Teresa Chrissoni nel riguardo del credito verso la Principessa Seniha Sultan - Teressa Chrissoni'nin Seniha Sultan'a verdiği borca ilişkin davanın zabıt tutanakları,,,,Open Access,Fasciolo contiene un elenco di atti - Dosyanın başında bir akit listesi mevcut,,,,,,1904-04-07; 1905-03-18,SALT Research,İtalyanca - Italian,Dosya - File,20-32 cm; Handwritten,63,,,45114,HILALS,,06.07.2009,,06.07.2009,,,,Salt Research,,Purchase,https://archives.saltresearch.org/handle/123456789/13245
123456789/12878,"City, Society, and Economy / Institutions / Italian Embassy / Tribunal / Sentences",ITTSN002,"Sentenze civili nei casi come matrimonio, nascita, morte, cittadinanza - Doğum,ölüm, evlenme, vatandaşlık gibi konularda özel hukuk kararları",,,,Open Access,,,,43 Ordini- 43 Kayıt/ Mancano le prime pagine e l'indice  -İlk sayfalar ve indeks eksik,,,1861-03-01; 1861-08-22,SALT Research,İtalyanca - Italian,Kitap - Book,"24- 33,5  cm",141,,,,HILALA,,12.01.2009,,12.01.2009,,,,Salt Research,,Purchase,https://archives.saltresearch.org/handle/123456789/12878
123456789/12879,"City, Society, and Economy / Institutions / Italian Embassy / Tribunal / Sentences",ITTSN003,"Sentenze civili nei casi come matrimonio, nascita, morte, cittadinanza - Doğum,ölüm, evlenme, vatandaşlık gibi konularda özel hukuk kararları",,,,Open Access,,,,84 Ordini-84 Kayıt-İndeksi var,,,1861-08-22; 1862-07-03,SALT Research,İtalyanca - Italian,Kitap - Book,"21,5-35 cm",340,,,,HILALA,,12.01.2009,,12.01.2009,,,,Salt Research,,Purchase,https://archives.saltresearch.org/handle/123456789/12879
123456789/12880,"City, Society, and Economy / Institutions / Italian Embassy / Tribunal / Sentences",ITTSN004,"Sentenze civili nei casi come matrimonio, nascita, morte, cittadinanza - Doğum,ölüm, evlenme, vatandaşlık gibi konularda özel hukuk kararları",,,,Open Access,,,,57 Ordini-57 Kayıt/ Manca la prima pagina -  İlk sayfa eksik -İndeksi var,,,1863-11-31; 1864-04-20,SALT Research,İtalyanca - Italian,Kitap - Book,"24-34,5 cm",,,,,HILALA,,12.01.2009,,12.01.2009,,,,Salt Research,,Purchase,https://archives.saltresearch.org/handle/123456789/12880
123456789/12881,"City, Society, and Economy / Institutions / Italian Embassy / Tribunal / Sentences",ITTSN007,"Sentenze civili nei casi come matrimonio, nascita, morte, cittadinanza - Doğum,ölüm, evlenme, vatandaşlık gibi konularda özel hukuk kararları.",,,,Open Access,,,,229 Ordini-229 Kayıt/ Mancano le pagine 222-249 / 222-249 arası eksik.,,,1866-05-04; 1867-12-11,SALT Research,İtalyanca - Italian,Defter - Register,"27,5-40 cm; Handwritten",373,,,45047,HILALA,,02.02.2009,,02.02.2009,,,,Salt Research,,Purchase,https://archives.saltresearch.org/handle/123456789/12881
123456789/12882,"City, Society, and Economy / Institutions / Italian Embassy / Tribunal / Sentences",ITTSN015,"Sentenze civili nei casi come matrimonio, nascita, morte, cittadinanza - Doğum,ölüm, evlenme, vatandaşlık gibi konularda özel hukuk kararları.",,,,Open Access,,,,120 Ordini-120 Kayıt/ /Con l'indice - İndeks ile,,,1872-01-03; 1876-01-14,SALT Research,İtalyanca - Italian,Defter - Register,"21,5-31 cm; Handwritten",,,,45055,HILALA,,04.02.2009,,04.02.2009,,,,Salt Research,,Purchase,https://archives.saltresearch.org/handle/123456789/12882
123456789/12883,"City, Society, and Economy / Institutions / Italian Embassy / Tribunal / Sentences",ITTSN016,Sentenze / Ordinanza Civili - Özel Hukuk Karar ve Emirleri,,,,Open Access,,,,57 Ordini-57 Kayıt / Con l'indice - İndeks ile ile,,,1874-01-12; 1874-12-31,SALT Research,İtalyanca - Italian,Defter - Register,"21,5-31 cm; Handwritten",212,,,45056,UMITS,,09.02.2009,,09.02.2009,,,,Salt Research,,Purchase,https://archives.saltresearch.org/handle/123456789/12883
123456789/12884,"City, Society, and Economy / Institutions / Italian Embassy / Tribunal / Sentences",ITTSN019,"Sentenze civili nei casi come matrimonio, nascita, morte, cittadinanza - Doğum,ölüm, evlenme, vatandaşlık gibi konularda özel hukuk kararları",,,,Open Access,,,,85 Ordini- 85 Kayıt / Con l'indice - İndeks ile ile,,,1876-01-13; 1876-12-28,SALT Research,İtalyanca - Italian,Defter - Register,"21,5-31 cm; Handwritten",635,,,45060,Ümit,,09.02.2009,,09.02.2009,,,,SALT Research,,Purchase,https://archives.saltresearch.org/handle/123456789/12884
123456789/12885,"City, Society, and Economy / Institutions / Italian Embassy / Tribunal / Sentences",ITTSN037,Sentenze Civili e Commerciali - Özel ve Ticari hukuk Kararları,,,,Open Access,,,,68 Ordini-68 Kayıt /Con l'indice - İndeks ile,,,1898-09-11; 1899-12-20,SALT Research,İtalyanca - Italian,Defter - Register,"21,5-34 cm; Handwritten",343,,,45078,HILALA,,26.02.2009,,26.02.2009,,,,Salt Research,,Purchase,https://archives.saltresearch.org/handle/123456789/12885
123456789/12886,"City, Society, and Economy / Institutions / Italian Embassy / Tribunal / Sentences",ITTSN038,Sentenze Civili e Commerciali - Özel ve Ticari hukuk Kararları,,,,Open Access,,,,72 Ordini- 72 Kayıt / Con l'indice - İndeks ile ile,,,1900-01-03; 1901-12-29,SALT Research,İtalyanca - Italian,Defter - Register,"21-30,5 cm; Handwritten",544,,,45079,HILALA,,26.02.2009,,26.02.2009,,,,Salt Research,,Purchase,https://archives.saltresearch.org/handle/123456789/12886
123456789/12887,"City, Society, and Economy / Institutions / Italian Embassy / Tribunal / Sentences",ITTSN040,Sentenze e ordinanze Civili e Commerciali - Özel Ticari Hukuk Karar ve Emirleri,,,,Open Access,,,,66 Ordini- 66 Kayıt /Con l'indice - İndeks ile,,,1905-01-12; 1905-12-28,SALT Research,İtalyanca - Italian,Defter - Register,21-31 cm; Handwritten,510,,,45081,UMITS,,27.02.2009,,27.02.2009,,,,Salt Research,,Purchase,https://archives.saltresearch.org/handle/123456789/12887
123456789/13087,"City, Society, and Economy / Institutions / Italian Embassy / Tribunal / Sentences",ITTSN018,Sentenze / Ordinanze Penali - Ceza Hukuku Karar ve Emirleri,,,,Open Access,,,,78 Ordini-78 Kayıt / Con l'indice - İndeks ile ile,,,1875-01-04; 1875-12-28,SALT Research,İtalyanca - Italian,Defter - Register,"21,5-31 cm; Handwritten",268,,,45058,UMITS,,09.02.2009,,09.02.2009,,,,Salt Research,,Purchase,https://archives.saltresearch.org/handle/123456789/13087
123456789/13088,"City, Society, and Economy / Institutions / Italian Embassy / Tribunal / Sentences",ITTSN022,Sentenze Civili e Commerciali - Özel ve Ticari hukuk Kararları,,,,Open Access,,,,73 Ordini- 73 Kayıt /Con l'indice - İndeks ile,,,1879-01-09; 1879-12-20,SALT Research,İtalyanca - Italian,Defter - Register,"21,5-31 cm; Handwritten",767,,,45063,UMITS,,10.02.2009,,10.02.2009,,,,Salt Research,,Purchase,https://archives.saltresearch.org/handle/123456789/13088
123456789/13089,"City, Society, and Economy / Institutions / Italian Embassy / Tribunal / Sentences",ITTSN023,Sentenze e Ordinanze Civili - Özel Hukuk Karar ve Emirleri,,,,Open Access,,,,100 Ordini-100 Kayıt /Con l'indice - İndeks ile,,,1879-01-18; 1882-12-09,SALT Research,İtalyanca - Italian,Defter - Register,"21,5-31 cm; Handwritten",470,,,45064,UMITS,,11.02.2009,,11.02.2009,,,,Salt Research,,Purchase,https://archives.saltresearch.org/handle/123456789/13089
123456789/13091,"City, Society, and Economy / Institutions / Italian Embassy / Tribunal / Sentences",ITTSN026,"Sentenze civili nei casi come matrimonio, nascita, morte, cittadinanza - Doğum,ölüm, evlenme, vatandaşlık gibi konularda özel hukuk kararları.",,,,Open Access,,,,44 Ordini-44 Kayıt- Solo una parte del Registro - Defterin yalnız bir kısmı,,,1881-01-20; 1881-12-31,SALT Research,İtalyanca - Italian,Defter - Register,"21,5-31 cm; Handwritten",728,,,45067,UMITS,,12.02.2009,,12.02.2009,,,,Salt Research,,Purchase,https://archives.saltresearch.org/handle/123456789/13091
123456789/13092,"City, Society, and Economy / Institutions / Italian Embassy / Tribunal / Sentences",ITTSN033,Sentenze Civili e Commerciali - Özel ve Ticari hukuk Kararları,,,,Open Access,,,,92 Ordini-92 Kayıt /Con l'indice - İndeks ile,,,1888-02-11; 1890-12-26,SALT Research,İtalyanca - Italian,Defter - Register,20-30 cm; Handwritten,156,,,45074,HILALA,,26.02.2009,,26.02.2009,,,,Salt Research,,Purchase,https://archives.saltresearch.org/handle/123456789/13092
123456789/13119,"City, Society, and Economy / Institutions / Italian Embassy / Tribunal / Sentences",ITTSN013,"Sentenze civili nei casi come matrimonio, nascita, morte, cittadinanza - Doğum,ölüm, evlenme, vatandaşlık gibi konularda özel hukuk kararları.",,,,Open Access,,,,140 Ordini-140 Kayıt.,,,1870-01-08; 1870-12-29,SALT Research,İtalyanca - Italian,Defter - Register,"21,5-31 cm; Handwritten",,,,45053,HILALA,,03.02.2009,,03.02.2009,,,,Salt Research,,Purchase,https://archives.saltresearch.org/handle/123456789/13119
123456789/13120,"City, Society, and Economy / Institutions / Italian Embassy / Tribunal / Sentences",ITTSN017,Sentenze dei Tribunali Ottomani contro sudditi Italiani - Osmanlı Mahkemelerinde İtalyan tebaasından olanlara karşı alınan kararlar.,,,,Open Access,,,,165 Ordini-165 Kayıt,,,1874-01-01; 1878-02-06,SALT Research,İtalyanca - Italian,Defter - Register,"24,5-29 cm; Handwritten",179,,,45057,UMITS,,09.02.2009,,09.02.2009,,,,Salt Research,,Purchase,https://archives.saltresearch.org/handle/123456789/13120
123456789/13121,"City, Society, and Economy / Institutions / Italian Embassy / Tribunal / Sentences",ITTSN018A,Sentenze / Ordinanze Penali - Ceza Hukuku Karar ve Emirleri,,,,Open Access,,,,23 Ordini/ 23 Kayıt,,,1876-01-29; 1876-12-22,SALT Research,İtalyanca - Italian,Defter - Register,"21,5-31 cm; Handwritten",112,,,45059,UMITS,,09.02.2009,,09.02.2009,,,,Salt Research,,Purchase,https://archives.saltresearch.org/handle/123456789/13121
123456789/13122,"City, Society, and Economy / Institutions / Italian Embassy / Tribunal / Sentences",ITTSN020,Sentenze Civili e Commerciali - Özel ve Ticari hukuk Kararları,,,,Open Access,,,,68 Ordini-68 Kayıt /Con l'indice - İndeks ile,,,1877-01-29; 1879-12-27,SALT Research,İtalyanca - Italian,Defter - Register,"21,5-31 cm; Handwritten",331,,,45061,UMITS,,10.02.2009,,10.02.2009,,,,Salt Research,,Purchase,https://archives.saltresearch.org/handle/123456789/13122
123456789/13123,"City, Society, and Economy / Institutions / Italian Embassy / Tribunal / Sentences",ITTSN027,Sentenze Civili e Commerciali - Özel ve Ticari hukuk Kararları,,,,Open Access,,,,87 Ordini- 87 Kayıt /Con l'indice - İndeks ile,,,1883-01-05; 1883-12-20,SALT Research,İtalyanca - Italian,Defter - Register,"21,5-31 cm; Handwritten",620,,,45068,HILALA,,25.02.2009,,25.02.2009,,,,Salt Research,,Purchase,https://archives.saltresearch.org/handle/123456789/13123
123456789/13124,"City, Society, and Economy / Institutions / Italian Embassy / Tribunal / Sentences",ITTSN029,Sentenze Civili e Commerciali - Özel ve Ticari hukuk Kararları,,,,Open Access,,,,81 Ordini- 81 Kayıt /Con l'indice - İndeks ile,,,1884-01-03; 1884-11-25,SALT Research,İtalyanca - Italian,Defter - Register,"21,5-31 cm; Handwritten",502,,,45070,HILALA,,25.02.2009,,25.02.2009,,,,Salt Research,,Purchase,https://archives.saltresearch.org/handle/123456789/13124
123456789/13125,"City, Society, and Economy / Institutions / Italian Embassy / Tribunal / Sentences",ITTSN034,Sentenze Civili e Commerciali - Özel ve Ticari hukuk Kararları,,,,Open Access,,,,76 Ordini-76 Kayıt /Con l'indice - İndeks ile,,,1890-01-08; 1890-12-24,SALT Research,İtalyanca - Italian,Defter - Register,21-31 cm; Handwritten,420,,,45075,HILALA,,26.02.2009,,26.02.2009,,,,Salt Research,,Purchase,https://archives.saltresearch.org/handle/123456789/13125
123456789/13126,"City, Society, and Economy / Institutions / Italian Embassy / Tribunal / Sentences",ITTSN035,"Sentenze civili nei casi come matrimonio, nascita, morte, cittadinanza - Doğum,ölüm, evlenme, vatandaşlık gibi konularda özel hukuk kararları.",,,,Open Access,,,,"39 Ordini- 39 Kayıt / Con l'indice - İndeks ile ile/ Nel registro mancano gli ordini di 1891, esistenti nell'indice -  İndeksteki 1891 Kayıtları defterde eksik.",,,1891-08-13; 1892-11-01,SALT Research,İtalyanca - Italian,Defter - Register,21-32 cm; Handwritten,298,,,45076,HILALA,,26.02.2009,,26.02.2009,,,,Salt Research,,Purchase,https://archives.saltresearch.org/handle/123456789/13126
123456789/13127,"City, Society, and Economy / Institutions / Italian Embassy / Tribunal / Sentences",ITTSN039,Sentenze Penali - Ceza Hukuku Kararları.,,,,Open Access,,,,55 Ordini- 55 Kayıt / Con l'indice - İndeks ile ile / Nel titolo la data del registro è 1902-1905 - Başlıktaki tarih 1902-1905'tir.,,,1902-01-10; 1913-10-23,SALT Research,İtalyanca - Italian,Defter - Register,21-31 cm; Handwritten,462,,,45080,UMITS,,27.02.2009,,27.02.2009,,,,Salt Research,,Purchase,https://archives.saltresearch.org/handle/123456789/13127
123456789/13155,"City, Society, and Economy / Institutions / Italian Embassy / Tribunal / Sentences",ITTSN006,"Sentenze civili nei casi come matrimonio, nascita, morte, cittadinanza - Doğum,ölüm, evlenme, vatandaşlık gibi konularda özel hukuk kararları.",,,,Open Access,,,,145 Ordini-145 Kayıt.,,,1865-01-17; 1866-05-04,SALT Research,İtalyanca - Italian,Defter - Register,"25,5-38,5 cm; Handwritten",339,,,45046,HILALA,,02.02.2009,,02.02.2009,,,,Salt Research,,Purchase,https://archives.saltresearch.org/handle/123456789/13155
123456789/13156,"City, Society, and Economy / Institutions / Italian Embassy / Tribunal / Sentences",ITTSN009,"Sentenze civili nei casi come matrimonio, nascita, morte, cittadinanza - Doğum,ölüm, evlenme, vatandaşlık gibi konularda özel hukuk kararları.",,,,Open Access,,,,18 Ordini- 18 Kayıt-Solo una parte del Registro - Defterin yalnız bir kısmı,,,1867-10-18; 1867-11-09,SALT Research,İtalyanca - Italian,Defter - Register,"25,5-37 cm; Handwritten",43,,,45049,HILALA,,02.02.2009,,02.02.2009,,,,Salt Research,,Purchase,https://archives.saltresearch.org/handle/123456789/13156
123456789/13157,"City, Society, and Economy / Institutions / Italian Embassy / Tribunal / Sentences",ITTSN010,"Sentenze civili nei casi come matrimonio, nascita, morte, cittadinanza - Doğum,ölüm, evlenme, vatandaşlık gibi konularda özel hukuk kararları.",,,,Open Access,,,,109 Ordini-109 Kayıt/Con l'indice - İndeks ile,,,1868-01-03; 1868-12-18,SALT Research,İtalyanca - Italian,Defter - Register,"22,5-31,5 cm; Handwritten",,,,45050,HILALA,,02.02.2009,,02.02.2009,,,,Salt Research,,Purchase,https://archives.saltresearch.org/handle/123456789/13157
123456789/13158,"City, Society, and Economy / Institutions / Italian Embassy / Tribunal / Sentences",ITTSN011,Sentenze Penali - Ceza Hukuku Kararları.,,,,Open Access,,,,128 Ordini-128 Kayıt/Con l'indice - İndeks ile ile.,,,1868-12-14; 1871-12-29,SALT Research,İtalyanca - Italian,Defter - Register,"21,5-31 cm; Handwritten",,,,45051,HILALA,,02.02.2009,,02.02.2009,,,,Salt Research,,Purchase,https://archives.saltresearch.org/handle/123456789/13158
123456789/13159,"City, Society, and Economy / Institutions / Italian Embassy / Tribunal / Sentences",ITTSN025,Sentenze Civili e Commerciali - Özel ve Ticari hukuk Kararları,,,,Open Access,,,,74 Ordini-74 Kayıt /Con l'indice - İndeks ile,,,1880-01-17; 1883-12-26,SALT Research,İtalyanca - Italian,Defter - Register,"21,5-31 cm; Handwritten",349,,,45066,UMITS,,11.02.2009,,11.02.2009,,,,Salt Research,,Purchase,https://archives.saltresearch.org/handle/123456789/13159
123456789/13160,"City, Society, and Economy / Institutions / Italian Embassy / Tribunal / Sentences",ITTSN028,Sentenze e Ordinanze Penali - Ceza Hukuku Karar ve Emirleri,,,,Open Access,,,,132 Ordini- 132 Kayıt/Con l'indice - İndeks ile,,,1883-01-27; 1886-12-27,SALT Research,İtalyanca - Italian,Defter - Register,"21,5-31 cm; Handwritten",449,,,45069,HILALA,,25.02.2009,,25.02.2009,,,,Salt Research,,,https://archives.saltresearch.org/handle/123456789/13160
123456789/13161,"City, Society, and Economy / Institutions / Italian Embassy / Tribunal / Sentences",ITTSN031,Sentenze Civili e Commerciali - Özel ve Ticari hukuk Kararları,,,,Open Access,,,,65 Ordini-65 Kayıt /Con l'indice - İndeks ile,,,1885-01-02; 1885-12-18,SALT Research,İtalyanca - Italian,Defter - Register,20-30 cm; Handwritten,545,,,45072,HILALA,,25.02.2009,,25.02.2009,,,,Salt Research,,Purchase,https://archives.saltresearch.org/handle/123456789/13161
123456789/13162,"City, Society, and Economy / Institutions / Italian Embassy / Tribunal / Sentences",ITTSN032,Sentenze Civili e Commerciali - Özel ve Ticari hukuk Kararları,,,,Open Access,,,,58 Ordini-58 Kayıt /Con l'indice - İndeks ile,,,1887-01-13; 1890-12-31,SALT Research,İtalyanca - Italian,Defter - Register,20-30 cm; Handwritten,393,,,45073,HILALA,,26.02.2009,,26.02.2009,,,,Salt Research,,Purchase,https://archives.saltresearch.org/handle/123456789/13162
123456789/13217,"City, Society, and Economy / Institutions / Italian Embassy / Tribunal / Sentences",ITTSN005,"Sentenze civili nei casi come matrimonio, nascita, morte, cittadinanza - Doğum,ölüm, evlenme, vatandaşlık gibi konularda özel hukuk kararları.",,,,Open Access,,,,78 Ordini-78 Kayıt/ Manca la prima pagina - İlk sayfa eksik,,,1864-05-27; 1864-12-20,SALT Research,İtalyanca - Italian,Defter - Register,"26-36,5 cm; Handwritten",188,,,45045,HILALA,,13.01.2009,,13.01.2009,,,,Salt Research,,Purchase,https://archives.saltresearch.org/handle/123456789/13217
123456789/13218,"City, Society, and Economy / Institutions / Italian Embassy / Tribunal / Sentences",ITTSN008,Sentenze Penali - Ceza Hukuku Kararları.,,,,Open Access,,,,15 Ordini-15 Kayıt.,,,1866-10-27; 1867-12-16,SALT Research,İtalyanca - Italian,Defter - Register,"21,5-34 cm; Handwritten",79,,,45048,HILALA,,02.02.2009,,02.02.2009,,,,Salt Research,,Purchase,https://archives.saltresearch.org/handle/123456789/13218
123456789/13219,"City, Society, and Economy / Institutions / Italian Embassy / Tribunal / Sentences",ITTSN012,"Sentenze civili nei casi come matrimonio, nascita, morte, cittadinanza - Doğum,ölüm, evlenme, vatandaşlık gibi konularda özel hukuk kararları.",,,,Open Access,,,,100 Ordini- 100 Kayıt/Con l'indice - İndeks ile,,,1869-01-07; 1869-12-24,SALT Research,İtalyanca - Italian,Defter - Register,"21,5-31 cm; Handwritten",,,,45052,HILALA,,02.02.2009,,02.02.2009,,,,Salt Research,,Purchase,https://archives.saltresearch.org/handle/123456789/13219
